keys,en
GAME_TITLE,HavenZ
CARD_ATTACK,Attack
CARD_LOOT,Loot
CARD_SUPPLY_FOOD,Food
CARD_SUPPLY_WATER,Water
CARD_CAREFUL_STEP,Careful Step
CARD_SPRINT,Sprint
CARD_NOISE_LABEL,Noise: {0}
CARD_NOISE_LABEL_PER_TILE,Noise: {0}/tile
CATEGORY_ATTACK,Attack
CATEGORY_LOOT,Loot
CATEGORY_TRAP,Trap
CATEGORY_DISTRACTION,Distraction
CATEGORY_MOVE_STEALTH,Stealth Move
CATEGORY_MOVE_LOUD,Loud Move
CATEGORY_SUPPLY_FOOD,Food Supply
CATEGORY_SUPPLY_WATER,Water Supply
CATEGORY_SUPPLY_MEDICAL,Medical Supply
CATEGORY_SUPPLY_SCRAP,Scrap Supply
